,Company,Segment,Segment Description,text,Predicted
341,cts corporation,Industrial Products,"Makes motion control products serving industrial, medical, and transportation markets","cts corporation Industrial Products Makes motion control products serving industrial, medical, and transportation markets",Energy Management & Efficiency
3701,tc energy corporation,Liquids Pipelines,"Operates and develops liquids pipeline infrastructure including the Keystone Pipeline System, connecting Canadian and U.S. producers to refineries located in the U.S. Midwest and Gulf Coast.","tc energy corporation Liquids Pipelines Operates and develops liquids pipeline infrastructure including the Keystone Pipeline System, connecting Canadian and U.S. producers to refineries located in the U.S. Midwest and Gulf Coast.",Not Applicable
4243,celularity inc.,CAR T-Cell Therapies,"Celularity develops CAR T-cell therapies for blood cancers like leukemia and lymphoma. This includes CYNK-201, an allogeneic CAR T therapy.","celularity inc. CAR T-Cell Therapies Celularity develops CAR T-cell therapies for blood cancers like leukemia and lymphoma. This includes CYNK-201, an allogeneic CAR T therapy.",Not Applicable
688,equifax inc.,Personal Solutions,Offers credit monitoring and identity theft protection products to consumers.,equifax inc. Personal Solutions Offers credit monitoring and identity theft protection products to consumers.,Not Applicable
3432,activision blizzard inc.,Candy Crush,Match-three puzzle mobile game franchise with various spin-offs,activision blizzard inc. Candy Crush Match-three puzzle mobile game franchise with various spin-offs,Not Applicable
5203,saipem spa,Onshore Drilling,Provides land drilling services with a fleet of rigs and related equipment.,saipem spa Onshore Drilling Provides land drilling services with a fleet of rigs and related equipment.,Not Applicable
4944,canadian solar inc.,Solar module manufacturing,Manufactures and sells solar modules to system integrators and project developers.,canadian solar inc. Solar module manufacturing Manufactures and sells solar modules to system integrators and project developers.,Alternative Energy
966,evotec se,Infectious disease,"Focuses on infectious diseases including anti-infectives, antibiotics, antivirals, antifungals and antiparasitics","evotec se Infectious disease Focuses on infectious diseases including anti-infectives, antibiotics, antivirals, antifungals and antiparasitics",Not Applicable
6749,mizuno corporation,Running shoes,Mizuno is known for its advanced running shoes designed for performance and comfort. Key technologies include Wave Plate for shock absorption and SmoothRide Engineering for a smooth transition.,mizuno corporation Running shoes Mizuno is known for its advanced running shoes designed for performance and comfort. Key technologies include Wave Plate for shock absorption and SmoothRide Engineering for a smooth transition.,Not Applicable
2203,nrg energy inc.,Retail Electricity,"Sells electricity and related services directly to residential, small business, and large commercial and industrial customers in competitive","nrg energy inc. Retail Electricity Sells electricity and related services directly to residential, small business, and large commercial and industrial customers in competitive",Alternative Energy
2713,american eagle outfitters inc.,Quiet Logistics,Retail distribution and fulfillment services. Acquired by American Eagle in 2021 to support e-commerce operations.,american eagle outfitters inc. Quiet Logistics Retail distribution and fulfillment services. Acquired by American Eagle in 2021 to support e-commerce operations.,Not Applicable
4757,conagra brands inc.,International,"Operates in Canada, Mexico, South America and Asia with popular brands including Hunt's, Swiss Miss, Libby's, PAM, and Rosarita","conagra brands inc. International Operates in Canada, Mexico, South America and Asia with popular brands including Hunt's, Swiss Miss, Libby's, PAM, and Rosarita",Not Applicable
5098,advantage solutions inc.,Manufacturing,"Offers contract manufacturing services for food, beverages, personal care, household products and more.","advantage solutions inc. Manufacturing Offers contract manufacturing services for food, beverages, personal care, household products and more.",Not Applicable
5964,bridge investment group holdings inc.,Logistics Properties,"Bridge acquires and manages logistics properties, including last-mile infill warehouses, light manufacturing facilities and logistics parks.","bridge investment group holdings inc. Logistics Properties Bridge acquires and manages logistics properties, including last-mile infill warehouses, light manufacturing facilities and logistics parks.",Energy Management & Efficiency
6196,augean plc,Energy,Operates an energy from waste facility that generates electricity from incinerating waste.,augean plc Energy Operates an energy from waste facility that generates electricity from incinerating waste.,Alternative Energy
5280,carter's inc.,Young Children Apparel,"Designs, sources, and markets playclothes for young children under the Child of Mine brand.","carter's inc. Young Children Apparel Designs, sources, and markets playclothes for young children under the Child of Mine brand.",Not Applicable
